Date,Open,High,Low,Close*,Adj Close**,Volume
24-Nov-21,"4,675.78","4,702.87","4,659.89","4,701.46","4,701.46","2,464,040,000"
23-Nov-21,"4,678.48","4,699.39","4,652.66","4,690.70","4,690.70","3,428,780,000"
22-Nov-21,"4,712.00","4,743.83","4,682.17","4,682.94","4,682.94","3,206,280,000"
19-Nov-21,"4,708.44","4,717.75","4,694.22","4,697.96","4,697.96","3,265,600,000"
18-Nov-21,"4,700.72","4,708.80","4,672.78","4,704.54","4,704.54","3,335,620,000"
17-Nov-21,"4,701.50","4,701.50","4,684.41","4,688.67","4,688.67","3,221,250,000"
16-Nov-21,"4,679.42","4,714.95","4,679.42","4,700.90","4,700.90","2,838,210,000"
15-Nov-21,"4,689.30","4,697.42","4,672.86","4,682.80","4,682.80","2,618,980,000"
12-Nov-21,"4,655.24","4,688.47","4,650.77","4,682.85","4,682.85","2,865,790,000"
11-Nov-21,"4,659.39","4,664.55","4,648.31","4,649.27","4,649.27","2,623,140,000"
10-Nov-21,"4,670.26","4,684.85","4,630.86","4,646.71","4,646.71","3,581,630,000"
9-Nov-21,"4,707.25","4,708.53","4,670.87","4,685.25","4,685.25","3,110,230,000"
8-Nov-21,"4,701.48","4,714.92","4,694.39","4,701.70","4,701.70","3,465,720,000"
5-Nov-21,"4,699.26","4,718.50","4,681.32","4,697.53","4,697.53","3,491,150,000"
4-Nov-21,"4,662.93","4,683.00","4,662.59","4,680.06","4,680.06","3,332,940,000"
3-Nov-21,"4,630.65","4,663.46","4,621.19","4,660.57","4,660.57","3,339,440,000"
2-Nov-21,"4,613.34","4,635.15","4,613.34","4,630.65","4,630.65","3,309,690,000"
1-Nov-21,"4,610.62","4,620.34","4,595.06","4,613.67","4,613.67","2,924,000,000"
29-Oct-21,"4,572.87","4,608.08","4,567.59","4,605.38","4,605.38","3,632,260,000"
28-Oct-21,"4,562.84","4,597.55","4,562.84","4,596.42","4,596.42","3,197,560,000"
27-Oct-21,"4,580.22","4,584.57","4,551.66","4,551.68","4,551.68","3,259,510,000"
26-Oct-21,"4,578.69","4,598.53","4,569.17","4,574.79","4,574.79","2,866,500,000"
25-Oct-21,"4,553.69","4,572.62","4,537.36","4,566.48","4,566.48","3,250,210,000"
22-Oct-21,"4,546.12","4,559.67","4,524.00","4,544.90","4,544.90","3,062,810,000"
21-Oct-21,"4,532.24","4,551.44","4,526.89","4,549.78","4,549.78","3,016,950,000"
20-Oct-21,"4,524.42","4,540.87","4,524.40","4,536.19","4,536.19","2,671,560,000"
19-Oct-21,"4,497.34","4,520.40","4,496.41","4,519.63","4,519.63","2,531,210,000"
18-Oct-21,"4,463.72","4,488.75","4,447.47","4,486.46","4,486.46","2,683,540,000"
15-Oct-21,"4,447.69","4,475.82","4,447.69","4,471.37","4,471.37","3,000,560,000"
14-Oct-21,"4,386.75","4,439.73","4,386.75","4,438.26","4,438.26","2,642,920,000"
13-Oct-21,"4,358.01","4,372.87","4,329.92","4,363.80","4,363.80","2,926,460,000"
12-Oct-21,"4,368.31","4,374.89","4,342.09","4,350.65","4,350.65","2,608,150,000"
11-Oct-21,"4,385.44","4,415.88","4,360.59","4,361.19","4,361.19","2,580,000,000"
8-Oct-21,"4,406.51","4,412.02","4,386.22","4,391.34","4,391.34","2,401,890,000"
7-Oct-21,"4,383.73","4,429.97","4,383.73","4,399.76","4,399.76","3,096,080,000"
6-Oct-21,"4,319.57","4,365.57","4,290.49","4,363.55","4,363.55","3,219,590,000"
5-Oct-21,"4,309.87","4,369.23","4,309.87","4,345.72","4,345.72","2,967,400,000"
4-Oct-21,"4,348.84","4,355.51","4,278.94","4,300.46","4,300.46","3,110,560,000"
1-Oct-21,"4,317.16","4,375.19","4,288.52","4,357.04","4,357.04","3,148,980,000"
30-Sep-21,"4,370.67","4,382.55","4,306.24","4,307.54","4,307.54","3,123,770,000"
29-Sep-21,"4,362.41","4,385.57","4,355.08","4,359.46","4,359.46","2,753,800,000"
28-Sep-21,"4,419.54","4,419.54","4,346.33","4,352.63","4,352.63","3,495,970,000"
27-Sep-21,"4,442.12","4,457.30","4,436.19","4,443.11","4,443.11","3,032,870,000"
24-Sep-21,"4,438.04","4,463.12","4,430.27","4,455.48","4,455.48","2,772,090,000"
23-Sep-21,"4,406.75","4,465.40","4,406.75","4,448.98","4,448.98","2,833,290,000"
22-Sep-21,"4,367.43","4,416.75","4,367.43","4,395.64","4,395.64","3,273,670,000"
21-Sep-21,"4,374.45","4,394.87","4,347.96","4,354.19","4,354.19","3,044,300,000"
20-Sep-21,"4,402.95","4,402.95","4,305.91","4,357.73","4,357.73","3,773,680,000"
17-Sep-21,"4,469.74","4,471.52","4,427.76","4,432.99","4,432.99","5,622,210,000"
16-Sep-21,"4,477.09","4,485.87","4,443.80","4,473.75","4,473.75","3,321,030,000"
15-Sep-21,"4,447.49","4,486.87","4,438.37","4,480.70","4,480.70","3,154,760,000"
14-Sep-21,"4,479.33","4,485.68","4,435.46","4,443.05","4,443.05","2,568,730,000"
13-Sep-21,"4,474.81","4,492.99","4,445.70","4,468.73","4,468.73","3,096,390,000"
10-Sep-21,"4,506.92","4,520.47","4,457.66","4,458.58","4,458.58","2,851,140,000"
9-Sep-21,"4,513.02","4,529.90","4,492.07","4,493.28","4,493.28","3,035,300,000"
8-Sep-21,"4,518.09","4,521.79","4,493.95","4,514.07","4,514.07","2,808,480,000"
7-Sep-21,"4,535.38","4,535.38","4,513.00","4,520.03","4,520.03","3,098,870,000"
3-Sep-21,"4,532.42","4,541.45","4,521.30","4,535.43","4,535.43","2,609,660,000"
2-Sep-21,"4,534.48","4,545.85","4,524.66","4,536.95","4,536.95","2,897,010,000"
1-Sep-21,"4,528.80","4,537.11","4,522.02","4,524.09","4,524.09","3,101,830,000"
31-Aug-21,"4,529.75","4,531.39","4,515.80","4,522.68","4,522.68","3,090,380,000"
30-Aug-21,"4,513.76","4,537.36","4,513.76","4,528.79","4,528.79","2,557,300,000"
27-Aug-21,"4,474.10","4,513.33","4,474.10","4,509.37","4,509.37","2,862,360,000"
26-Aug-21,"4,493.75","4,495.90","4,468.99","4,470.00","4,470.00","2,704,600,000"
25-Aug-21,"4,490.45","4,501.71","4,485.66","4,496.19","4,496.19","2,554,680,000"
24-Aug-21,"4,484.40","4,492.81","4,482.28","4,486.23","4,486.23","3,037,770,000"
23-Aug-21,"4,450.29","4,489.88","4,450.29","4,479.53","4,479.53","2,965,520,000"
20-Aug-21,"4,410.56","4,444.35","4,406.80","4,441.67","4,441.67","2,867,770,000"
19-Aug-21,"4,382.44","4,418.61","4,367.73","4,405.80","4,405.80","3,120,840,000"
18-Aug-21,"4,440.94","4,454.32","4,397.59","4,400.27","4,400.27","2,965,210,000"
17-Aug-21,"4,462.12","4,462.12","4,417.83","4,448.08","4,448.08","2,884,000,000"
16-Aug-21,"4,461.65","4,480.26","4,437.66","4,479.71","4,479.71","2,707,170,000"
13-Aug-21,"4,464.84","4,468.37","4,460.82","4,468.00","4,468.00","2,371,630,000"
12-Aug-21,"4,446.08","4,461.77","4,435.96","4,460.83","4,460.83","2,543,860,000"
11-Aug-21,"4,442.18","4,449.44","4,436.42","4,442.41","4,442.41","2,803,060,000"
10-Aug-21,"4,435.79","4,445.21","4,430.03","4,436.75","4,436.75","3,219,840,000"
9-Aug-21,"4,437.77","4,439.39","4,424.74","4,432.35","4,432.35","2,779,880,000"
6-Aug-21,"4,429.07","4,440.82","4,429.07","4,436.52","4,436.52","2,839,970,000"
5-Aug-21,"4,408.86","4,429.76","4,408.86","4,429.10","4,429.10","2,734,220,000"
4-Aug-21,"4,415.95","4,416.17","4,400.23","4,402.66","4,402.66","3,382,620,000"
3-Aug-21,"4,392.74","4,423.79","4,373.00","4,423.15","4,423.15","3,305,340,000"
2-Aug-21,"4,406.86","4,422.18","4,384.81","4,387.16","4,387.16","2,919,940,000"
30-Jul-21,"4,395.12","4,412.25","4,389.65","4,395.26","4,395.26","2,861,600,000"
29-Jul-21,"4,403.59","4,429.97","4,403.59","4,419.15","4,419.15","2,815,510,000"
28-Jul-21,"4,402.95","4,415.47","4,387.01","4,400.64","4,400.64","3,215,130,000"
27-Jul-21,"4,416.38","4,416.38","4,372.51","4,401.46","4,401.46","3,381,080,000"
26-Jul-21,"4,409.58","4,422.73","4,405.45","4,422.30","4,422.30","2,679,110,000"
23-Jul-21,"4,381.20","4,415.18","4,381.20","4,411.79","4,411.79","3,490,730,000"
22-Jul-21,"4,361.27","4,369.87","4,350.06","4,367.48","4,367.48","2,907,910,000"
21-Jul-21,"4,331.13","4,359.70","4,331.13","4,358.69","4,358.69","3,078,550,000"
20-Jul-21,"4,265.11","4,336.84","4,262.05","4,323.06","4,323.06","3,634,190,000"
19-Jul-21,"4,296.40","4,296.40","4,233.13","4,258.49","4,258.49","4,155,790,000"
16-Jul-21,"4,367.43","4,375.09","4,322.53","4,327.16","4,327.16","3,165,160,000"
15-Jul-21,"4,369.02","4,369.02","4,340.70","4,360.03","4,360.03","3,226,930,000"
14-Jul-21,"4,380.11","4,393.68","4,362.36","4,374.30","4,374.30","3,213,870,000"
13-Jul-21,"4,381.07","4,392.37","4,366.92","4,369.21","4,369.21","3,166,900,000"
12-Jul-21,"4,372.41","4,386.68","4,364.03","4,384.63","4,384.63","2,983,980,000"
9-Jul-21,"4,329.38","4,371.60","4,329.38","4,369.55","4,369.55","2,738,280,000"
8-Jul-21,"4,321.07","4,330.88","4,289.37","4,320.82","4,320.82","3,393,780,000"
7-Jul-21,"4,351.01","4,361.88","4,329.79","4,358.13","4,358.13","3,243,900,000"
6-Jul-21,"4,356.46","4,356.46","4,314.37","4,343.54","4,343.54","3,437,900,000"
2-Jul-21,"4,326.60","4,355.43","4,326.60","4,352.34","4,352.34","2,628,550,000"
1-Jul-21,"4,300.73","4,320.66","4,300.73","4,319.94","4,319.94","3,077,580,000"
30-Jun-21,"4,290.65","4,302.43","4,287.96","4,297.50","4,297.50","3,687,880,000"
29-Jun-21,"4,293.21","4,300.52","4,287.04","4,291.80","4,291.80","3,049,560,000"
28-Jun-21,"4,284.90","4,292.14","4,274.67","4,290.61","4,290.61","3,415,610,000"
25-Jun-21,"4,274.45","4,286.12","4,271.16","4,280.70","4,280.70","6,248,390,000"
24-Jun-21,"4,256.97","4,271.28","4,256.97","4,266.49","4,266.49","3,141,680,000"
23-Jun-21,"4,249.27","4,256.60","4,241.43","4,241.84","4,241.84","3,172,440,000"
22-Jun-21,"4,224.61","4,255.84","4,217.27","4,246.44","4,246.44","3,208,760,000"
21-Jun-21,"4,173.40","4,226.24","4,173.40","4,224.79","4,224.79","3,391,740,000"
18-Jun-21,"4,204.78","4,204.78","4,164.40","4,166.45","4,166.45","6,084,980,000"
17-Jun-21,"4,220.37","4,232.29","4,196.05","4,221.86","4,221.86","3,952,110,000"
16-Jun-21,"4,248.87","4,251.89","4,202.45","4,223.70","4,223.70","3,722,050,000"
15-Jun-21,"4,255.28","4,257.16","4,238.35","4,246.59","4,246.59","3,578,450,000"
14-Jun-21,"4,248.31","4,255.59","4,234.07","4,255.15","4,255.15","3,612,050,000"
11-Jun-21,"4,242.90","4,248.38","4,232.25","4,247.44","4,247.44","3,204,280,000"
10-Jun-21,"4,228.56","4,249.74","4,220.34","4,239.18","4,239.18","3,502,480,000"
9-Jun-21,"4,232.99","4,237.09","4,218.74","4,219.55","4,219.55","3,902,870,000"
8-Jun-21,"4,233.81","4,236.74","4,208.41","4,227.26","4,227.26","3,943,870,000"
7-Jun-21,"4,229.34","4,232.34","4,215.66","4,226.52","4,226.52","3,835,570,000"
4-Jun-21,"4,206.05","4,233.45","4,206.05","4,229.89","4,229.89","3,487,070,000"
3-Jun-21,"4,191.43","4,204.39","4,167.93","4,192.85","4,192.85","4,579,450,000"
2-Jun-21,"4,206.82","4,217.37","4,198.27","4,208.12","4,208.12","4,860,930,000"
1-Jun-21,"4,216.52","4,234.12","4,197.59","4,202.04","4,202.04","4,122,960,000"
